code,volume
JP.3524,12700
JP.3529,41500
JP.352A,3300
JP.3536,5600
JP.3537,41400
JP.3538,4000
JP.3539,100700
JP.3542,13800
JP.3543,175500
JP.3544,8500
JP.3547,24100
JP.3548,131900
JP.3549,173500
JP.354A,40778
JP.3550,2700
JP.3551,12900
JP.3553,40000
JP.3556,47200
JP.3557,5300
JP.3558,39300
JP.3559,2900
JP.3560,7800
JP.3561,106100
JP.3562,9500
JP.3563,3596800
JP.3565,195900
JP.3566,2700
JP.3569,74700
JP.356A,24306
JP.3571,6600
JP.3577,1900
JP.3580,35000
JP.3583,1400
JP.3591,97700
JP.3597,800
JP.3598,63500
JP.3600,0
JP.3607,18100
JP.3608,168200
JP.360A,0
JP.3611,22700
JP.3612,157000
JP.3622,800
JP.3623,5900
JP.3624,1057300
JP.3625,5200
JP.3626,616700
JP.3627,7600
JP.3628,35000
JP.3632,459300
JP.3633,22800
JP.3634,1300
JP.3635,556800
JP.3636,31400
JP.3639,2500
JP.363A,666
JP.3640,8300
JP.3641,5400
JP.3645,11500
JP.3646,8000
JP.3647,22500
JP.3648,11700
JP.3649,49200
JP.364A,2239
JP.3652,84700
JP.3653,572600
JP.3656,1688400
JP.3657,447300
JP.3659,2835700
JP.365A,20000
JP.3660,1100300
JP.3661,270500
JP.3662,75900
JP.3663,237200
JP.3664,37649600
JP.3665,175000
JP.3667,287800
JP.3668,389900
JP.366A,19500
JP.3670,600
JP.3671,18400
JP.3672,133500
JP.3673,633500
JP.3674,16500
JP.3675,7800
JP.3676,86100
JP.3678,30100
JP.3679,470000
JP.367A,32200
JP.3680,7200
JP.3682,700
JP.3683,20800
JP.3686,98800
JP.3687,402400
JP.368A,94200
JP.3690,10000
JP.3691,15300
JP.3692,198900
JP.3694,340700
JP.3695,15300
JP.3696,69000
JP.3697,3247700
JP.3698,10800
JP.369A,20400
JP.3708,72600
JP.3710,6200
JP.3712,1800
JP.3719,196100
JP.3723,65300
JP.3726,31000
JP.3727,45500
JP.372A,3900
JP.3733,6000
JP.373A,1800
JP.3741,88500
JP.3744,9600
JP.3747,20500
JP.3750,8100
JP.3753,81000
JP.3758,10300
JP.3760,6100
JP.3762,211400
JP.3763,50800
JP.3765,177400
JP.3766,1000
JP.3768,2200
JP.3769,199200
JP.376A,30117
JP.3771,144100
JP.3772,24000
JP.3773,27000
JP.3774,333800
JP.3776,351600
JP.3777,1226000
JP.3778,461800
JP.3779,18600
JP.3787,39800
JP.3788,39400
JP.378A,30900
JP.3791,75300
JP.3793,103000
JP.3796,86200
JP.3798,254500
JP.3799,16700
JP.379A,32
JP.3800,2300
JP.3802,3200
JP.3803,9300
JP.3804,6500
JP.3807,377400
JP.380A,11168
JP.3810,901100
JP.3815,6300
JP.3816,300
JP.3817,21600
JP.381A,9620
JP.3823,2739300
JP.3825,2092000
JP.3826,13400
JP.382A,88330
JP.3834,32800
JP.3835,26800
JP.3836,57600
JP.3837,53300
JP.3839,10800
JP.383A,1467
JP.3840,175300
JP.3841,500
JP.3842,17500
JP.3843,25600
JP.3844,310000
JP.3845,125900
JP.3848,3200
JP.3850,49000
JP.3851,72100
JP.3853,128200
JP.3854,85700
JP.3856,352500
JP.3858,21800
JP.3861,2299400
JP.3863,270100
JP.3864,118600
JP.3865,140200
JP.386A,4200
JP.3877,33600
JP.3878,20100
JP.387A,1500
JP.3880,328900
JP.3891,95000
JP.3892,2000
JP.3895,12700
JP.3896,12800
JP.3900,64700
JP.3901,43600
JP.3903,1221800
JP.3904,13400
JP.3905,13941900
JP.3907,1065400
JP.3908,10300
JP.3909,4300
JP.3910,7200
JP.3911,120500
JP.3912,28300
JP.3913,16200
JP.3914,23300
JP.3915,73400
JP.3916,57800
JP.3917,26800
JP.3918,9300
JP.3920,800
JP.3921,14900
JP.3922,25100
JP.3923,1673700
JP.3925,53400
JP.3926,25000
JP.3927,13600
JP.3928,6800
JP.3929,206600
JP.392A,176920
JP.3930,7100
JP.3931,1100
JP.3932,72500
JP.3933,1100
JP.3934,1400
JP.3935,23100
JP.3936,172200
JP.3937,37600
JP.3939,109100
JP.3940,163400
JP.3941,552000
JP.3943,4500
JP.3944,600
JP.3945,600
JP.3946,91000
JP.3947,8400
JP.3948,800
JP.394A,40
JP.3950,68700
JP.3951,8200
JP.3953,3600
JP.3954,1600
JP.3955,900
JP.3958,17900
JP.395A,29180
JP.3962,147000
JP.3963,43100
JP.3964,479300
JP.3965,14700
JP.3967,15100
JP.3968,224000
JP.3969,7200
JP.396A,20
JP.3970,2300
JP.3974,6400
JP.3976,30600
JP.3979,19000
JP.3981,4200
JP.3983,25500
JP.3984,76000
JP.3985,13900
JP.3986,2400
JP.3987,10400
JP.3988,60000
JP.3989,492800
JP.3991,1500
JP.3992,72700
JP.3993,119300
JP.3994,382400
JP.3996,54500
JP.3997,412500
JP.3998,6000
JP.399A,56308
JP.4004,2093300
JP.4005,6432400
JP.4008,132600
JP.4011,24700
JP.4012,5500
JP.4013,46300
JP.4014,101100
JP.4015,18900
JP.4016,6300
JP.4017,6100
JP.4019,89300
JP.401A,931
